type,start_date,end_date,duration_blocks,basin,variable
Dry,2019-07-01 00:00:00,2021-01-01 00:00:00,4,Colorado,Precip
Wet,2021-07-01 00:00:00,2021-07-01 00:00:00,1,Colorado,Precip
Dry,2022-01-01 00:00:00,2022-01-01 00:00:00,1,Colorado,Precip
Wet,2022-07-01 00:00:00,2023-01-01 00:00:00,2,Colorado,Precip
Dry,2023-07-01 00:00:00,2023-07-01 00:00:00,1,Colorado,Precip
Wet,2024-01-01 00:00:00,2024-01-01 00:00:00,1,Colorado,Precip
Dry,2024-07-01 00:00:00,2025-01-01 00:00:00,2,Colorado,Precip
Dry,2002-01-01 00:00:00,2009-07-01 00:00:00,16,Congo,ET
Wet,2010-01-01 00:00:00,2010-01-01 00:00:00,1,Congo,ET
Dry,2010-07-01 00:00:00,2012-01-01 00:00:00,4,Congo,ET
Wet,2012-07-01 00:00:00,2013-01-01 00:00:00,2,Congo,ET
Dry,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Congo,ET
Wet,2014-01-01 00:00:00,2024-01-01 00:00:00,21,Congo,ET
Dry,2024-07-01 00:00:00,2024-07-01 00:00:00,1,Congo,ET
Dry,1998-01-01 00:00:00,1999-01-01 00:00:00,3,Congo,Precip
Wet,1999-07-01 00:00:00,1999-07-01 00:00:00,1,Congo,Precip
Dry,2000-01-01 00:00:00,2000-01-01 00:00:00,1,Congo,Precip
Wet,2000-07-01 00:00:00,2001-01-01 00:00:00,2,Congo,Precip
Dry,2001-07-01 00:00:00,2001-07-01 00:00:00,1,Congo,Precip
Wet,2002-01-01 00:00:00,2003-01-01 00:00:00,3,Congo,Precip
Dry,2003-07-01 00:00:00,2004-01-01 00:00:00,2,Congo,Precip
Wet,2004-07-01 00:00:00,2004-07-01 00:00:00,1,Congo,Precip
Dry,2005-01-01 00:00:00,2005-07-01 00:00:00,2,Congo,Precip
Wet,2006-01-01 00:00:00,2008-01-01 00:00:00,5,Congo,Precip
Dry,2008-07-01 00:00:00,2008-07-01 00:00:00,1,Congo,Precip
Wet,2009-01-01 00:00:00,2010-07-01 00:00:00,4,Congo,Precip
Dry,2011-01-01 00:00:00,2011-01-01 00:00:00,1,Congo,Precip
Wet,2011-07-01 00:00:00,2011-07-01 00:00:00,1,Congo,Precip
Dry,2012-01-01 00:00:00,2012-01-01 00:00:00,1,Congo,Precip
Wet,2012-07-01 00:00:00,2013-01-01 00:00:00,2,Congo,Precip
Dry,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Congo,Precip
Wet,2014-01-01 00:00:00,2014-01-01 00:00:00,1,Congo,Precip
Dry,2014-07-01 00:00:00,2015-01-01 00:00:00,2,Congo,Precip
Wet,2015-07-01 00:00:00,2016-01-01 00:00:00,2,Congo,Precip
Dry,2016-07-01 00:00:00,2016-07-01 00:00:00,1,Congo,Precip
Wet,2017-01-01 00:00:00,2019-07-01 00:00:00,6,Congo,Precip
Dry,2020-01-01 00:00:00,2024-07-01 00:00:00,10,Congo,Precip
Wet,2025-01-01 00:00:00,2025-01-01 00:00:00,1,Congo,Precip
Dry,2002-01-01 00:00:00,2004-01-01 00:00:00,5,Danube,ET
Wet,2004-07-01 00:00:00,2004-07-01 00:00:00,1,Danube,ET
Dry,2005-01-01 00:00:00,2005-01-01 00:00:00,1,Danube,ET
Wet,2005-07-01 00:00:00,2005-07-01 00:00:00,1,Danube,ET
Dry,2006-01-01 00:00:00,2006-01-01 00:00:00,1,Danube,ET
Wet,2006-07-01 00:00:00,2006-07-01 00:00:00,1,Danube,ET
Dry,2007-01-01 00:00:00,2007-07-01 00:00:00,2,Danube,ET
Wet,2008-01-01 00:00:00,2008-01-01 00:00:00,1,Danube,ET
Dry,2008-07-01 00:00:00,2009-01-01 00:00:00,2,Danube,ET
Wet,2009-07-01 00:00:00,2010-07-01 00:00:00,3,Danube,ET
Dry,2011-01-01 00:00:00,2011-01-01 00:00:00,1,Danube,ET
Wet,2011-07-01 00:00:00,2012-01-01 00:00:00,2,Danube,ET
Dry,2012-07-01 00:00:00,2012-07-01 00:00:00,1,Danube,ET
Wet,2013-01-01 00:00:00,2013-01-01 00:00:00,1,Danube,ET
Dry,2013-07-01 00:00:00,2014-01-01 00:00:00,2,Danube,ET
Wet,2014-07-01 00:00:00,2015-01-01 00:00:00,2,Danube,ET
Dry,2015-07-01 00:00:00,2015-07-01 00:00:00,1,Danube,ET
Wet,2016-01-01 00:00:00,2017-01-01 00:00:00,3,Danube,ET
Dry,2017-07-01 00:00:00,2017-07-01 00:00:00,1,Danube,ET
Wet,2018-01-01 00:00:00,2019-07-01 00:00:00,4,Danube,ET
Dry,2020-01-01 00:00:00,2020-01-01 00:00:00,1,Danube,ET
Wet,2020-07-01 00:00:00,2020-07-01 00:00:00,1,Danube,ET
Dry,2021-01-01 00:00:00,2021-01-01 00:00:00,1,Danube,ET
Wet,2021-07-01 00:00:00,2022-01-01 00:00:00,2,Danube,ET
Dry,2022-07-01 00:00:00,2023-01-01 00:00:00,2,Danube,ET
Wet,2023-07-01 00:00:00,2024-01-01 00:00:00,2,Danube,ET
Dry,2024-07-01 00:00:00,2024-07-01 00:00:00,1,Danube,ET
Dry,1998-01-01 00:00:00,1998-01-01 00:00:00,1,Danube,Precip
Wet,1998-07-01 00:00:00,1999-07-01 00:00:00,3,Danube,Precip
Dry,2000-01-01 00:00:00,2000-07-01 00:00:00,2,Danube,Precip
Wet,2001-01-01 00:00:00,2001-01-01 00:00:00,1,Danube,Precip
Dry,2001-07-01 00:00:00,2002-01-01 00:00:00,2,Danube,Precip
Wet,2002-07-01 00:00:00,2002-07-01 00:00:00,1,Danube,Precip
Dry,2003-01-01 00:00:00,2003-07-01 00:00:00,2,Danube,Precip
Wet,2004-01-01 00:00:00,2006-01-01 00:00:00,5,Danube,Precip
Dry,2006-07-01 00:00:00,2007-01-01 00:00:00,2,Danube,Precip
Wet,2007-07-01 00:00:00,2007-07-01 00:00:00,1,Danube,Precip
Dry,2008-01-01 00:00:00,2008-01-01 00:00:00,1,Danube,Precip
Wet,2008-07-01 00:00:00,2010-07-01 00:00:00,5,Danube,Precip
Dry,2011-01-01 00:00:00,2012-07-01 00:00:00,4,Danube,Precip
Wet,2013-01-01 00:00:00,2013-01-01 00:00:00,1,Danube,Precip
Dry,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Danube,Precip
Wet,2014-01-01 00:00:00,2014-07-01 00:00:00,2,Danube,Precip
Dry,2015-01-01 00:00:00,2015-07-01 00:00:00,2,Danube,Precip
Wet,2016-01-01 00:00:00,2016-01-01 00:00:00,1,Danube,Precip
Dry,2016-07-01 00:00:00,2017-01-01 00:00:00,2,Danube,Precip
Wet,2017-07-01 00:00:00,2018-01-01 00:00:00,2,Danube,Precip
Dry,2018-07-01 00:00:00,2018-07-01 00:00:00,1,Danube,Precip
Wet,2019-01-01 00:00:00,2019-01-01 00:00:00,1,Danube,Precip
Dry,2019-07-01 00:00:00,2020-01-01 00:00:00,2,Danube,Precip
Wet,2020-07-01 00:00:00,2021-01-01 00:00:00,2,Danube,Precip
Dry,2021-07-01 00:00:00,2022-07-01 00:00:00,3,Danube,Precip
Wet,2023-01-01 00:00:00,2023-07-01 00:00:00,2,Danube,Precip
Dry,2024-01-01 00:00:00,2025-01-01 00:00:00,3,Danube,Precip
Dry,2002-01-01 00:00:00,2003-01-01 00:00:00,3,Ganges / Bhramaputra Basin,ET
Wet,2003-07-01 00:00:00,2003-07-01 00:00:00,1,Ganges / Bhramaputra Basin,ET
Dry,2004-01-01 00:00:00,2008-01-01 00:00:00,9,Ganges / Bhramaputra Basin,ET
Wet,2008-07-01 00:00:00,2008-07-01 00:00:00,1,Ganges / Bhramaputra Basin,ET
Dry,2009-01-01 00:00:00,2010-01-01 00:00:00,3,Ganges / Bhramaputra Basin,ET
Wet,2010-07-01 00:00:00,2011-07-01 00:00:00,3,Ganges / Bhramaputra Basin,ET
Dry,2012-01-01 00:00:00,2012-07-01 00:00:00,2,Ganges / Bhramaputra Basin,ET
Wet,2013-01-01 00:00:00,2013-01-01 00:00:00,1,Ganges / Bhramaputra Basin,ET
Dry,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Ganges / Bhramaputra Basin,ET
Wet,2014-01-01 00:00:00,2014-01-01 00:00:00,1,Ganges / Bhramaputra Basin,ET
Dry,2014-07-01 00:00:00,2014-07-01 00:00:00,1,Ganges / Bhramaputra Basin,ET
Wet,2015-01-01 00:00:00,2015-01-01 00:00:00,1,Ganges / Bhramaputra Basin,ET
Dry,2015-07-01 00:00:00,2016-01-01 00:00:00,2,Ganges / Bhramaputra Basin,ET
Wet,2016-07-01 00:00:00,2024-07-01 00:00:00,17,Ganges / Bhramaputra Basin,ET
Wet,1998-01-01 00:00:00,1998-07-01 00:00:00,2,Ganges / Bhramaputra Basin,Precip
Dry,1999-01-01 00:00:00,1999-01-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Wet,1999-07-01 00:00:00,2000-01-01 00:00:00,2,Ganges / Bhramaputra Basin,Precip
Dry,2000-07-01 00:00:00,2000-07-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Wet,2001-01-01 00:00:00,2001-01-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Dry,2001-07-01 00:00:00,2001-07-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Wet,2002-01-01 00:00:00,2002-01-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Dry,2002-07-01 00:00:00,2002-07-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Wet,2003-01-01 00:00:00,2004-07-01 00:00:00,4,Ganges / Bhramaputra Basin,Precip
Dry,2005-01-01 00:00:00,2005-01-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Wet,2005-07-01 00:00:00,2005-07-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Dry,2006-01-01 00:00:00,2006-07-01 00:00:00,2,Ganges / Bhramaputra Basin,Precip
Wet,2007-01-01 00:00:00,2008-07-01 00:00:00,4,Ganges / Bhramaputra Basin,Precip
Dry,2009-01-01 00:00:00,2010-01-01 00:00:00,3,Ganges / Bhramaputra Basin,Precip
Wet,2010-07-01 00:00:00,2011-07-01 00:00:00,3,Ganges / Bhramaputra Basin,Precip
Dry,2012-01-01 00:00:00,2012-01-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Wet,2012-07-01 00:00:00,2013-01-01 00:00:00,2,Ganges / Bhramaputra Basin,Precip
Dry,2013-07-01 00:00:00,2014-07-01 00:00:00,3,Ganges / Bhramaputra Basin,Precip
Wet,2015-01-01 00:00:00,2015-01-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Dry,2015-07-01 00:00:00,2016-01-01 00:00:00,2,Ganges / Bhramaputra Basin,Precip
Wet,2016-07-01 00:00:00,2017-01-01 00:00:00,2,Ganges / Bhramaputra Basin,Precip
Dry,2017-07-01 00:00:00,2019-01-01 00:00:00,4,Ganges / Bhramaputra Basin,Precip
Wet,2019-07-01 00:00:00,2020-01-01 00:00:00,2,Ganges / Bhramaputra Basin,Precip
Dry,2020-07-01 00:00:00,2020-07-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Wet,2021-01-01 00:00:00,2022-01-01 00:00:00,3,Ganges / Bhramaputra Basin,Precip
Dry,2022-07-01 00:00:00,2024-01-01 00:00:00,4,Ganges / Bhramaputra Basin,Precip
Wet,2024-07-01 00:00:00,2024-07-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Dry,2025-01-01 00:00:00,2025-01-01 00:00:00,1,Ganges / Bhramaputra Basin,Precip
Dry,2002-01-01 00:00:00,2002-01-01 00:00:00,1,Mekong Basin,ET
Wet,2002-07-01 00:00:00,2003-01-01 00:00:00,2,Mekong Basin,ET
Dry,2003-07-01 00:00:00,2005-01-01 00:00:00,4,Mekong Basin,ET
Wet,2005-07-01 00:00:00,2006-07-01 00:00:00,3,Mekong Basin,ET
Dry,2007-01-01 00:00:00,2008-07-01 00:00:00,4,Mekong Basin,ET
Wet,2009-01-01 00:00:00,2009-01-01 00:00:00,1,Mekong Basin,ET
Dry,2009-07-01 00:00:00,2010-07-01 00:00:00,3,Mekong Basin,ET
Wet,2011-01-01 00:00:00,2011-01-01 00:00:00,1,Mekong Basin,ET
Dry,2011-07-01 00:00:00,2012-01-01 00:00:00,2,Mekong Basin,ET
Wet,2012-07-01 00:00:00,2013-01-01 00:00:00,2,Mekong Basin,ET
Dry,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Mekong Basin,ET
Wet,2014-01-01 00:00:00,2014-07-01 00:00:00,2,Mekong Basin,ET
Dry,2015-01-01 00:00:00,2015-01-01 00:00:00,1,Mekong Basin,ET
Wet,2015-07-01 00:00:00,2015-07-01 00:00:00,1,Mekong Basin,ET
Dry,2016-01-01 00:00:00,2016-01-01 00:00:00,1,Mekong Basin,ET
Wet,2016-07-01 00:00:00,2017-01-01 00:00:00,2,Mekong Basin,ET
Dry,2017-07-01 00:00:00,2017-07-01 00:00:00,1,Mekong Basin,ET
Wet,2018-01-01 00:00:00,2019-07-01 00:00:00,4,Mekong Basin,ET
Dry,2020-01-01 00:00:00,2020-01-01 00:00:00,1,Mekong Basin,ET
Wet,2020-07-01 00:00:00,2022-01-01 00:00:00,4,Mekong Basin,ET
Dry,2022-07-01 00:00:00,2023-01-01 00:00:00,2,Mekong Basin,ET
Wet,2023-07-01 00:00:00,2023-07-01 00:00:00,1,Mekong Basin,ET
Dry,2024-01-01 00:00:00,2024-07-01 00:00:00,2,Mekong Basin,ET
Dry,1998-01-01 00:00:00,1998-07-01 00:00:00,2,Mekong Basin,Precip
Wet,1999-01-01 00:00:00,2001-01-01 00:00:00,5,Mekong Basin,Precip
Dry,2001-07-01 00:00:00,2001-07-01 00:00:00,1,Mekong Basin,Precip
Wet,2002-01-01 00:00:00,2002-07-01 00:00:00,2,Mekong Basin,Precip
Dry,2003-01-01 00:00:00,2003-07-01 00:00:00,2,Mekong Basin,Precip
Wet,2004-01-01 00:00:00,2004-01-01 00:00:00,1,Mekong Basin,Precip
Dry,2004-07-01 00:00:00,2005-01-01 00:00:00,2,Mekong Basin,Precip
Wet,2005-07-01 00:00:00,2005-07-01 00:00:00,1,Mekong Basin,Precip
Dry,2006-01-01 00:00:00,2006-01-01 00:00:00,1,Mekong Basin,Precip
Wet,2006-07-01 00:00:00,2006-07-01 00:00:00,1,Mekong Basin,Precip
Dry,2007-01-01 00:00:00,2007-01-01 00:00:00,1,Mekong Basin,Precip
Wet,2007-07-01 00:00:00,2009-01-01 00:00:00,4,Mekong Basin,Precip
Dry,2009-07-01 00:00:00,2010-07-01 00:00:00,3,Mekong Basin,Precip
Wet,2011-01-01 00:00:00,2012-01-01 00:00:00,3,Mekong Basin,Precip
Dry,2012-07-01 00:00:00,2013-01-01 00:00:00,2,Mekong Basin,Precip
Wet,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Mekong Basin,Precip
Dry,2014-01-01 00:00:00,2016-01-01 00:00:00,5,Mekong Basin,Precip
Wet,2016-07-01 00:00:00,2018-07-01 00:00:00,5,Mekong Basin,Precip
Dry,2019-01-01 00:00:00,2020-01-01 00:00:00,3,Mekong Basin,Precip
Wet,2020-07-01 00:00:00,2020-07-01 00:00:00,1,Mekong Basin,Precip
Dry,2021-01-01 00:00:00,2021-01-01 00:00:00,1,Mekong Basin,Precip
Wet,2021-07-01 00:00:00,2022-07-01 00:00:00,3,Mekong Basin,Precip
Dry,2023-01-01 00:00:00,2023-01-01 00:00:00,1,Mekong Basin,Precip
Wet,2023-07-01 00:00:00,2023-07-01 00:00:00,1,Mekong Basin,Precip
Dry,2024-01-01 00:00:00,2024-01-01 00:00:00,1,Mekong Basin,Precip
Wet,2024-07-01 00:00:00,2024-07-01 00:00:00,1,Mekong Basin,Precip
Dry,2025-01-01 00:00:00,2025-01-01 00:00:00,1,Mekong Basin,Precip
Dry,2002-01-01 00:00:00,2004-01-01 00:00:00,5,Mississippi / Missouri,ET
Wet,2004-07-01 00:00:00,2005-01-01 00:00:00,2,Mississippi / Missouri,ET
Dry,2005-07-01 00:00:00,2006-07-01 00:00:00,3,Mississippi / Missouri,ET
Wet,2007-01-01 00:00:00,2007-01-01 00:00:00,1,Mississippi / Missouri,ET
Dry,2007-07-01 00:00:00,2009-01-01 00:00:00,4,Mississippi / Missouri,ET
Wet,2009-07-01 00:00:00,2010-01-01 00:00:00,2,Mississippi / Missouri,ET
Dry,2010-07-01 00:00:00,2013-01-01 00:00:00,6,Mississippi / Missouri,ET
Wet,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Mississippi / Missouri,ET
Dry,2014-01-01 00:00:00,2014-01-01 00:00:00,1,Mississippi / Missouri,ET
Wet,2014-07-01 00:00:00,2020-07-01 00:00:00,13,Mississippi / Missouri,ET
Dry,2021-01-01 00:00:00,2021-01-01 00:00:00,1,Mississippi / Missouri,ET
Wet,2021-07-01 00:00:00,2021-07-01 00:00:00,1,Mississippi / Missouri,ET
Dry,2022-01-01 00:00:00,2022-01-01 00:00:00,1,Mississippi / Missouri,ET
Wet,2022-07-01 00:00:00,2024-07-01 00:00:00,5,Mississippi / Missouri,ET
Wet,1998-01-01 00:00:00,1999-01-01 00:00:00,3,Mississippi / Missouri,Precip
Dry,1999-07-01 00:00:00,2001-01-01 00:00:00,4,Mississippi / Missouri,Precip
Wet,2001-07-01 00:00:00,2001-07-01 00:00:00,1,Mississippi / Missouri,Precip
Dry,2002-01-01 00:00:00,2002-01-01 00:00:00,1,Mississippi / Missouri,Precip
Wet,2002-07-01 00:00:00,2002-07-01 00:00:00,1,Mississippi / Missouri,Precip
Dry,2003-01-01 00:00:00,2003-07-01 00:00:00,2,Mississippi / Missouri,Precip
